小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
五和万科长阳天地,在售,[房山-长阳]房山地铁篱笆房站奥特莱斯北侧,二居(1)，三居(2),2018.03.15,"均价51,000元/m²",496-528万元
中粮京西祥云,在售,[房山]地铁房山线稻田站北行800米,三居(2)，四居(2),2018.03.15,"均价57,000元/m²",710-880万元
天恒·京西悦府,在售,房山 - 房山线西沿线，燕房线阎村站地铁口,三居(2),2018.03.15,"均价40,000元/m²",407-450万元
观山源墅（住宅）,在售,房山 - 房山 阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,二居(2)，三居(3)，四居(2),2018.03.01,"均价46,800元/m²",430-660万元
北京城建上河湾,待售,密云 - 密云县白云街北侧（滨河大桥向北1500米，白河西侧）,二居(1)，三居(4),2017.11.23,售价待定,总价待定
龙湖长城源著,在售,[密云]密云司马台长城脚下古北水镇旁,一居(3)，二居(3),2018.03.16,"均价25,300元/m²",388万元
首创澜茵山,在售,密云 - 密云密溪路（京承高速16出口）白河公园北侧300米路东,一居(1)，二居(1)，三居(3)，四居(2),2017.11.23,"958-1,436万元/套",
北京城建世华龙樾,待售,[海淀-清河]海淀清河小营桥东700米,二居(1)，三居(4)，四居(1),2018.03.15,售价待定,总价待定
彼岸香醍,待售,[密云]北京市密云县溪翁庄镇密西路18号,四居(2),2017.11.23,总价待定,
雲溪（别墅）,待售,[密云]北京密云水库溪翁庄镇白河风景区,四居(3),2017.03.10,总价待定,
海淀名著,待售,海淀 - 阜石路辅路与田村路交叉口 ,三居(1)，四居(1),2018.03.15,售价待定,总价待定
懿品府,在售,[密云]密云果园街道西大桥路38号北院,四居(3),2017.06.21,711-823万元/套,
密云华润橡树湾,售罄,密云 - 密云县密云镇滨河路水源路交叉口东南角,二居(1)，三居(2),2017.04.05,"均价24,000元/m²",总价待定
华润萬橡府,待售,海淀 -  海淀学府树北街（清河桥西500米）,三居(1)，四居(2),2018.03.15,售价待定,总价待定
行宫·御东园,售罄,[密云]密云新北路南侧、行宫街东侧,一居(1)，三居(1),,"均价16,000元/m²",总价待定
华远澜悦,售罄,[密云] 密云县白云街北侧（白河西）,三居(2),,"均价15,000元/m²",总价待定
盛德紫阙,在售,东城 - 北京市东城区地坛公园北，北二环安定门向北1000米,一居(3)，二居(2)，三居(4)，四居(1),2018.03.06,"均价120,000元/m²","3,192-5,016万元"
强佑·府学上院,在售,[海淀-清河]八达岭高速清河桥西100米,二居(2)，三居(3),2018.03.15,"均价80,000元/m²","800-1,350万元"
金隅·金玉府,在售,海淀 - 海淀阜石路与上庄大街交汇处东南200米,三居(4),2018.03.15,"均价78,900元/m²","1,085万元起"
北河沿甲柒拾柒号,在售,[东城]东城北河沿大街甲77号,三居(3)，四居(1),2018.03.16,"均价164,600元/m²","8,000万元起"
梵悦万国府,在售,[东城-东直门]东城区东直门外小街十八号,三居(2)，四居(1),2018.01.26,"均价145,000元/m²","2,842-4,205万元"
霞公府,在售,东城 - 北京市东城区霞公府街3号，王府井大街与东长安街交汇处西北角，...,四居(1)，五居及以上(1),2018.01.22,"均价137,000元/m²","6,069-8,083万元"
中海寰宇天下,在售,[石景山-古城],二居(1)，三居(3)，四居(2),2018.03.15,"最低60,999元/m²起","519-1,068万元"
上林溪南区,在售,海淀 - 海淀区八达岭高速西三旗出口出向西第一个红绿灯向南即到 ,一居(1)，二居(2)，三居(4),2018.03.15,"均价80,000元/m²","512-1,024万元"
当代MOMA历峰,售罄,[东城-东直门]东直门香河园路1号,三居(1),,"均价91,000元/m²",总价待定
励骏华庭,售罄,[东城-王府井]东城区金宝街90号,一居(1)，二居(1)，三居(1)，四居(1),2017.04.26,"均价110,000元/m²",总价待定
华龙美晟,售罄,[东城-方庄]东城区沙子口路甲48号院,二居(1),2016.12.14,售价待定,总价待定
贡院9号,售罄,[东城-王府井]东城贡院西街9号,一居(1)，三居(1),2017.02.22,"均价75,000元/m²",总价待定
使馆壹号院,售罄,[东城-东直门]北京市东直门香河园3号,三居(1)，四居(1),2017.06.07,"均价150,000元/m²",总价待定
远洋天著春秋,在售,[石景山-西山别墅区]八大处公园西南800米,五居及以上(3),2018.01.31,"3,800万元/套起",
中海金玺公馆,售罄,石景山 - 石景山石景山路与古城大街交汇处西500米,二居(2)，三居(2),2018.01.18,"均价50,000元/m²",总价待定
玉泉新城,待售,"海淀 - 石景山区玉泉路以西,海淀区玉泉路与阜石路交汇处西南角 ",一居(1)，二居(1),2018.03.16,售价待定,总价待定
紫金印象,待售,西城 - 北京市西城区右安门桥北150米右安门内大街28号,一居(2)，二居(3)，四居(1),2018.03.15,售价待定,"100,000元/m²"
百旺杏林湾,待售,海淀 - 海淀北青路北航天城西(永丰产业基地东),二居(1)，三居(4)，四居(2),2018.03.16,"均价74,000元/m²","1,014-1,510万元"
玺源台,待售,西城 - 宣武广安门外大街305号，莲花池东路，会城门桥南200米,一居(6)，二居(2),2018.03.16,售价待定,总价待定
五矿万科如园,在售,海淀 -  海淀西北旺镇永丰路与后厂村路交界东南角,三居(3)，四居(1),2018.01.31,"均价100,000元/m²","3,100万元"
丽都壹号,待售,[朝阳-望京]朝阳将台路与驼房营路交叉口,一居(2)，二居(4)，三居(1),2018.03.15,售价待定,总价待定
中信国安府,待售,[西城-西单]西城区二环内琉璃厂西侧50米,四居(2),2018.02.01,售价待定,总价待定
西单上国阙,在售,[西城-西单]西单时代广场中组部南200米路东,二居(2)，四居(2),2018.02.01,"均价187,000元/m²","3,029-5,535万元"
建邦礼仕阁,售罄,[西城-金融街]西城南礼士路二条二号院,一居(1),,"均价64,000元/m²",总价待定
华龙美钰,售罄,[西城]西城半步桥街60号,一居(5)，二居(1)，三居(1),,"均价55,000元/m²",总价待定
中骏天宸,售罄,西城 - 西城区德胜门北800米路东(德外桥东北角),三居(1)，四居(2),2018.01.11,"均价135,000元/m²","3,645万元"
前海中金公馆,在售,[海淀]海淀中街15号,一居(3)，二居(1)，三居(1),2018.03.16,"均价90,000元/m²","1,125万元"
金地华著,在售,[海淀]海淀西二环北京海洋馆西200米,三居(2)，四居(1),2018.01.31,"均价170,000元/m²","4,420万元"
中赫万柳书院,在售,海淀 - 海淀区万柳区域巴沟路华联购物中心西侧,三居(4)，五居及以上(1),2018.01.31,"均价170,000元/m²","7,922万元"
泰禾·金尊府,待售,[朝阳]东四环中路58号,一居(3)，二居(2)，三居(2),2018.02.26,售价待定,总价待定
江南府,在售,[朝阳-小红门]朝阳红坊路6号,二居(3)，三居(1),2018.03.15,"最低72,000元/m²起",590-785万元
首创天禧,在售,朝阳 - 朝阳区东三环京广桥东北角(东三环CCTV北50米),四居(1),2018.03.15,"均价180,000元/m²","7,164万元"
泰禾·昌平拾景园（住宅）,在售,[昌平-昌平主城区]新城地铁南邵站南100米,二居(1)，三居(4),2018.03.15,"均价55,000元/m²",700万元起
首创·天阅西山,在售,海淀 -  海淀区永丰路与北清路交汇处东北角，中关村壹号北侧公园中,四居(3),2018.02.07,"均价85,000元/m²","1,530-2,142万元"
江南山水,待售,[朝阳-小红门]朝阳红坊路6号,一居(1)，三居(1)，四居(1),2018.03.15,"均价60,000元/m²",总价待定
天润福熙大道,在售,朝阳 - 朝阳区北五环红军营东路轻轨13号线北苑站北200米,一居(1)，二居(1)，三居(4)，四居(1),2018.03.15,"均价105,000元/m²","15,000万元起"
翡翠公园,在售,昌平 - 昌平北五环京承高速07出口西，七星路与七北路交汇,四居(2),2018.03.15,"1,100-1,300万元/套",
泰禾·金府大院,待售,[丰台]北京市丰台区南四环公益西桥2.5公里,三居(3),2018.03.15,"均价79,800元/m²","1,160万元"
香山四季,在售,海淀 - 海淀区西北四环四季青桥向西1.8公里向北500米,三居(3)，四居(2)，五居及以上(3),2018.01.31,"均价105,000元/m²","2,184-6,678万元"
泰禾北京院子,在售,朝阳 - 朝阳中央别墅区孙河板块京密路与顺黄路交叉口往西500米,三居(1)，四居(1)，五居及以上(1),2018.03.15,"19,800万元/套起",
首开万科翡翠四季,在售,通州 - 通州东五环京津高速东石村桥东南700米京津高速第一出口500...,二居(2)，三居(4)，四居(2),2018.03.12,售价待定,总价待定
中粮天恒·天悦壹号,待售,[丰台]南四环地铁新宫站南500米,三居(1)，四居(2),2018.03.15,"均价85,000元/m²",总价待定
首开华润城,在售,丰台 - 丰台南四环花乡桥南1公里，樊羊路与白盆窑路交汇处东北侧,三居(2),2018.03.15,"均价90,000元/m²","1,224-1,269万元"
梵悦108,在售,朝阳 - 国贸桥东南角建国路乙108号招商商厦后侧,一居(3)，二居(4),2018.03.15,"均价150,000元/m²","2,229-4,100万元"
阳光城·檀悦,在售,顺义 - 北五环京承高速6出口（中央别墅区）罗马环岛东800米,三居(2),2018.03.15,"均价62,300元/m²","630-1,500万元"
K2十里春风,在售,通州 - 通州区永乐经济开发区小甸屯村百莱玛工业园对面,二居(1)，三居(1),2018.03.15,"均价37,500元/m²",296-330万元
中国玺,在售,[丰台-丽泽]西二环菜户营桥东南角 ,四居(2),2018.03.15,"1,872-2,105万元/套",
昆仑域,待售,[丰台-丽泽]丰台西二环菜户营桥南800米,四居(1)，五居及以上(1),2018.03.15,售价待定,"95,000元/m²"
亿城燕西华府,在售,[丰台-王佐]丰台王佐镇青龙湖公园东1500米,三居(3)，四居(2)，五居及以上(3),2018.03.15,"1,500万元/套起",
天恒金融街公园懿府,在售,丰台 - 丰台公益西桥南行3500米，槐房西路与西南路交叉口,二居(1)，三居(4),2018.03.15,"均价74,000元/m²",851-932万元
中骏·西山天璟,在售,[门头沟]西山·永定楼北300米,三居(1)，四居(4),2018.03.15,"均价66,000元/m²","670-1,100万元"
北京奥林匹克花园,待售,朝阳 - 朝阳姚家园路与东坝中路交叉口路北800米(东坝集团中区),三居(2)，四居(2),2018.03.16,售价待定,总价待定
中海·国际城,待售,顺义 - 顺平路燕京桥M15号线石门站南1500米,二居(3)，三居(4)，四居(2),2018.03.15,售价待定,总价待定
华业东方玫瑰,在售,通州 - 通州八通线临河里站北侧400米，梨园南街与临河里路交汇处,一居(1)，二居(9)，三居(4)，四居(1),2018.03.15,"均价70,000元/m²",688万元
上海建筑,在售,丰台 - 大红门西路16号，远洋自然南面，集美家居北面,二居(1)，三居(1),2018.01.22,"均价85,000元/m²","1,241万元"
西山燕庐,在售,门头沟 - 门头沟永定镇长安街西延线南约500米,三居(1)，四居(1),2018.03.15,"均价62,000元/m²","520-1,150万元"
泛海国际,待售,[朝阳-朝阳公园]朝阳朝阳公园桥东北角,四居(2),2018.01.26,"均价140,000元/m²","5,124-6,440万元"
鸿坤花语墅,待售,朝阳 - 朝阳西大望路北京工业大学西门北侧100米,二居(1)，三居(1)，四居(1),2018.01.26,总价待定,
浅山香邑,在售,[顺义]顺义区张镇张各庄村 ,二居(2)，三居(4)，四居(1),2018.03.15,"最低27,000元/m²起",308-441万元
中铁花溪渡,在售,顺义 - 顺义新城白马路与通顺路交汇处向北1公里,三居(6)，四居(2),2018.03.02,"均价50,000元/m²",752-981万元
首开万科城市之光,在售,通州 - 通州东五环化工桥向京津高速第一出口通马路向南500米路东,开间(1),2018.03.15,"均价43,000元/m²",172万元
紫辰院,在售,[丰台-丽泽]丰台西四环中路112号,二居(1)，三居(3)，四居(1)，五居及以上(1),2018.01.26,"均价120,000元/m²","3,192-3,300万元"
翡翠长安,在售,门头沟 - 门头沟西长安街沿线与六环交汇处西南1.2km,三居(2)，四居(1),2018.03.14,"均价62,000元/m²","950-1,320万元"
国韵村,在售,大兴 - 北京市大兴区东南四环榴乡桥南1800米 ,二居(1)，三居(1)，四居(1),2018.03.15,"均价75,000元/m²","645-1,035万元"
亚运新新家园,待售,[朝阳-亚奥]朝阳亚运村辛店路一号,五居及以上(1),2018.01.26,总价待定,
八斗,在售,[朝阳-亚奥]朝阳大屯路222号院,二居(2)，三居(4)，四居(1),2018.01.26,"均价120,000元/m²","1,380-2,148万元"
利锦府,在售,[朝阳-东坝]朝阳东坝中街与东坝中路交汇处,二居(3)，三居(3)，四居(2),2018.01.22,"均价85,000元/m²","2,465-2,584万元"
江南山水（别墅）,在售,[朝阳-小红门]朝阳红坊路6号,四居(2),2018.02.01,"2,670万元/套",
恒华湖公馆,在售,顺义 - 顺义新城顺安路，乔波滑雪馆西侧,二居(2)，三居(3)，四居(1),2018.02.07,"最低48,000元/m²起","435-1,250万元"
泰晤士印象,待售,通州 - 通州京哈高速（G1）朗府出口右转200米,二居(1)，三居(2),2018.03.16,售价待定,总价待定
丽景长安,在售,门头沟 - 门头沟永定镇石龙西路与三石路交叉口西南角向西200米 ,三居(2)，四居(2),2018.03.15,"均价56,900元/m²",840万元起
绿地海珀云翡,在售,[大兴-黄村]兴亦路京开高速东侧,二居(1)，三居(3),2018.03.15,"均价76,000元/m²","775-1,353万元"
兴创荣墅,在售,[大兴-庞各庄],五居及以上(4),2018.03.15,"800-1,800万元/套",
亦庄金茂府,在售,大兴 - 亦庄开发区博兴西路与泰河三街交汇口,四居(4)，五居及以上(1),2018.02.27,"均价68,000元/m²",880万元起
首开缇香墅,在售,通州 - 通州京津高速过台湖收费站第一个出口,一居(1)，二居(1)，三居(3)，四居(1)，五居及以上(1),2018.03.16,650-916万元/套,
华润西山墅,在售,门头沟 - 华润西山墅位于门头沟长安街西沿线，距阜石路1.8公里，距莲石...,三居(1),2018.03.16,"均价47,200元/m²",600-700万元
通泰国际公馆,在售,[大兴-亦庄]地铁亦庄线经海路站西南角100米 ,一居(1)，二居(2)，三居(1)，开间(2),2018.03.16,"均价67,000元/m²",365万元
北京城建海梓府,在售,大兴 - 大兴亦庄经济开发区博兴西路与泰河二街交叉口东南角,二居(4)，三居(7)，四居(1),2018.03.15,"均价63,000元/m²",662万元
首开香溪郡,在售,通州 - 东北五环通顺路与窑管路交汇口西侧(东坝向东八公里),二居(1)，三居(3)，四居(2),2018.03.15,"均价45,000元/m²",400-500万元
西山艺境,在售,门头沟 - 双峪路口向西800米，黑山大街西侧 ,三居(4)，四居(1),2018.01.31,"均价65,000元/m²","1,333-1,690万元"
远洋天著,在售,大兴 - 东南五环和京沪（京津塘）高速路交汇处大洋坊桥东南角羊坊路14...,三居(3)，四居(2)，五居及以上(1),2018.03.16,"2,400万元/套",
润枫领尚,在售,通州 - 通州光机电产业基地核心区兴光三街9号院,一居(2)，二居(1)，三居(2)，四居(2),2018.02.24,"均价54,000元/m²",837-945万元
恒大华府,在售,朝阳 - 朝阳东坝中街与单店北街交汇处西北侧,四居(1)，五居及以上(1),2018.01.26,"均价110,000元/m²","2,981-3,718万元"
