小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
万科重庆天地,待售,[渝中]渝中区化龙桥瑞天路158号,二居(1)，三居(2),2018.03.13,"最低23,000元/m²起",156-225万元
重庆来福士广场,在售,[渝中]嘉滨路3号,,2017.08.03,"均价35,000元/m²",总价待定
滨江壹号,在售,[渝中-解放碑]长江滨江路229号,一居(15)，三居(1),2017.11.03,"均价20,000元/m²",9-86万元
和泓江山国际,在售,[渝中-大坪]长江二路33号,二居(6)，三居(3),2017.08.22,"均价19,500元/m²",199-201万元
瑞安翠湖天地(公寓),待售,[渝中-化龙桥]渝中区瑞天路68号(天地湖对面）,一居(2)，二居(3)，三居(4),2017.07.19,售价待定,总价待定
春语江山,待售,[渝中-大坪]鹅岭下徐家坡43号（重庆建委旁）,一居(5)，二居(7)，三居(8),2017.07.10,售价待定,总价待定
英利未来公寓,在售,渝中 - 五一路域邹容路交汇处（创汇首座对面）,一居(8)，二居(2),2017.08.04,售价待定,总价待定
解放碑181(公寓),在售,[渝中-解放碑]八一路181号,不限(3),2017.08.16,"均价19,500元/m²",总价待定
熊猫公馆,待售,"[渝中-解放碑]中兴路,近南区路",一居(8),2017.08.16,售价待定,总价待定
协信公馆,在售,渝中 - 黄花园（位于黄花园大桥南桥头）,一居(3)，二居(3)，三居(1),2017.08.01,"均价28,000元/m²",总价待定
瑞安翠湖天地,待售,[渝中-化龙桥]渝中区瑞天路68号(天地湖对面）,一居(2)，二居(3)，三居(4),2017.07.19,售价待定,总价待定
高盛创富中心(公寓),在售,渝中 - 渝中嘉滨路111-113号（洪崖洞旁）,不限(2),2017.07.26,"均价13,000元/m²",53-112万元
滨江壹号(公寓),在售,[渝中-解放碑]长江滨江路229号,一居(15)，三居(1),2017.07.28,"均价20,000元/m²",68-76万元
财信渝中城（公寓）,待售,[渝中-解放碑]中山路七星岗车站旁,一居(5)，二居(5)，三居(1),2018.01.11,售价待定,80万元
英利未来公寓(公寓),在售,渝中 - 五一路域邹容路交汇处（创汇首座对面）,一居(8)，二居(2),2017.08.04,"均价27,000元/m²",167-521万元
保亿丽景紫园,待售,北碚 - 北碚蔡家岗镇嘉运大道97号（嘉运大道和同康路交汇处西南方向）,二居(2)，三居(7),2018.03.13,"最低8,600元/m²起",63-84万元
金科城,在售,[北碚-蔡家]嘉景大道6号,二居(1)，三居(11)，四居(6),2018.03.16,"最低11,500元/m²起",78-190万元
中昂星汇(公寓),在售,北碚 - 北碚蔡家同熙路（轻轨6号线蔡家站旁）,一居(5)，二居(2),2018.02.07,"均价6,300元/m²",64-77万元
巴南府邸,在售,[巴南-鱼洞]龙洲大道1号,二居(4)，三居(22)，四居(3),2018.03.13,"最低7,400元/m²起",61-89万元
力帆翡翠华府,在售,北碚 - 北碚蔡家新城同康路（蔡家轻轨站旁）,二居(14)，三居(1),2018.01.24,"均价10,500元/m²",88-110万元
荣盛滨江华府,在售,[巴南-巴滨路]巴滨路120号,二居(1)，三居(1),2018.03.13,"均价7,600元/m²",75-84万元
华南城巴南华府,待售,[巴南-南泉]南彭东城大道8号,一居(4)，二居(5)，三居(1),2018.03.13,"最低7,000元/m²起",49-66万元
荣盛锦绣南山,在售,[巴南-龙洲湾]龙洲湾商圈（海洋公园旁）,二居(1)，三居(5),2018.03.13,"最低8,700元/m²起",81-109万元
协信天骄溪悦,在售,[巴南-李家沱]龙洲大道1399号,一居(2)，二居(3)，三居(1),2018.03.16,"均价8,500元/m²",81万元
珠江城,在售,"[巴南-巴滨路]巴滨路,近立崧路",不限(2)，一居(4)，二居(8)，三居(2),2018.03.16,"最低7,600元/m²起",49-87万元
京汉凤凰城,待售,巴南 - 重庆市巴南区龙洲湾商圈（海洋公园旁）,一居(2),2018.03.16,售价待定,总价待定
万科观承,待售,[北碚-蔡家]两江新区嘉景大道,三居(1),2018.02.24,售价待定,"13,500元/m²"
中央大街,在售,[北碚-蔡家]轨道6号线蔡家站,二居(8)，三居(4)，五居及以上(1),2018.02.24,"均价8,500元/m²",78-94万元
金科岭上,待售,[北碚]国博中心北悦复大道,三居(4)，四居(1),2018.02.08,"均价10,000元/m²",84-107万元
鲁能北渝星城,待售,[北碚-城北新区]天生街道天溪路1号,二居(3)，三居(2)，四居(2),2018.02.24,售价待定,总价待定
巨豪香溪美林,在售,北碚 - 北碚三溪口童家溪镇香溪路3号（三溪口高速路下道口附近）,一居(3)，二居(4)，三居(3)，四居(1)，五居及以上(2),2018.01.23,"均价7,300元/m²",48-68万元
北京城建龙樾生态城,待售,[渝北]渝北区悦来生态城悦居二支路,三居(2)，四居(3)，五居及以上(1),2018.03.13,"最低14,000元/m²起",123-179万元
千江凌云,待售,[巴南]巴南 梅沁绿洲湿地公园旁,,2018.03.06,售价待定,总价待定
旭辉城,在售,[巴南-龙洲湾]渝南大道233号,一居(3)，二居(3)，三居(6),2018.03.07,"均价9,000元/m²",35-43万元
荣安明月江南,待售,[巴南]重庆巴南区鱼洞含笑公园旁,三居(2),2018.03.07,售价待定,总价待定
融汇半岛江上公馆,待售,[巴南-巴滨路]汇祥支路99号,二居(3)，三居(4),2018.03.07,售价待定,总价待定
恒大新城,在售,巴南 - 重庆市巴南区龙洲湾渝南大道（牌坊公交站旁）,一居(1)，二居(2)，三居(20)，四居(1),2018.03.07,"最低8,000元/m²起",69-153万元
金科美院,在售,[北碚-蔡家]嘉悦大桥北桥头,不限(1)，三居(5)，五居及以上(2),2018.02.23,"最低11,500元/m²起",80-94万元
金科金辉博翠山,待售,[北碚-蔡家]蔡家大桥旁（同康路）,三居(10)，四居(6),2018.03.05,"最低13,500元/m²起",99-154万元
金科集美嘉悦,在售,[北碚-蔡家]蔡家岗立交旁,三居(4),2018.02.06,"最低13,400元/m²起",160-171万元
隆鑫爱琴海(公寓),待售,[北碚-蔡家]同华路78号,一居(9)，二居(14)，三居(6),2017.08.11,售价待定,总价待定
名流印象,在售,[北碚-蔡家]轻轨6号线蔡家站旁(蔡家公交站旁),一居(2)，二居(9),2017.08.22,售价待定,总价待定
