小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
五和万科长阳天地,在售,[房山-长阳]房山地铁篱笆房站奥特莱斯北侧,二居(1)，三居(2),2018.03.15,"均价51,000元/m²",496-528万元
中粮京西祥云,在售,[房山]地铁房山线稻田站北行800米,三居(2)，四居(2),2018.03.15,"均价57,000元/m²",710-880万元
天恒·京西悦府,在售,[房山-阎村]房山线西沿线，燕房线阎村站...,三居(2),2018.03.15,"均价40,000元/m²",407-450万元
观山源墅（住宅）,在售,[房山-良乡]房山 阳光北大街与多宝路交...,二居(2)，三居(3)，四居(2),2018.02.27,"均价46,800元/m²",380-660万元
北京城建上河湾,待售,[密云]密云县白云街北侧（滨河大桥向北1...,二居(1)，三居(4),2017.11.23,售价待定,总价待定
龙湖长城源著,在售,[密云]密云司马台长城脚下古北水镇旁,一居(3)，二居(3),2017.10.19,"均价25,300元/m²",总价待定
北京城建世华龙樾,待售,[海淀-清河]海淀清河小营桥东700米,二居(1)，三居(4)，四居(1),2018.03.15,售价待定,总价待定
海淀名著,待售,[海淀-定慧寺-田村]阜石路辅路与田村路...,三居(1)，四居(1),2018.03.15,售价待定,总价待定
华润萬橡府,待售,[海淀-清河] 海淀学府树北街（清河桥西...,三居(1)，四居(2),2018.03.15,售价待定,总价待定
强佑·府学上院,在售,[海淀-清河]八达岭高速清河桥西100米,二居(2)，三居(3),2018.03.15,"均价80,000元/m²","800-1,350万元"
金隅·金玉府,在售,[海淀-定慧寺-田村]海淀阜石路与上庄大...,三居(4),2018.03.15,"均价78,900元/m²","1,085万元起"
上林溪南区,在售,[海淀-清河]海淀区八达岭高速西三旗出口...,一居(1)，二居(2)，三居(4),2018.03.15,"均价80,000元/m²","512-1,024万元"
玉泉新城,待售,[海淀-定慧寺-田村]石景山区玉泉路以西...,一居(1)，二居(1),2018.01.31,售价待定,总价待定
百旺杏林湾,在售,[海淀-西北旺]海淀北青路北航天城西(永...,二居(1)，三居(4)，四居(2),2018.02.07,"均价74,000元/m²","1,014-1,510万元"
五矿万科如园,在售,[海淀-西北旺] 海淀西北旺镇永丰路与后...,三居(3)，四居(1),2018.01.31,"均价100,000元/m²","3,100万元"
前海中金公馆,在售,[海淀]海淀中街15号,一居(3)，二居(1)，三居(1),2018.02.27,"均价90,000元/m²","1,125万元"
金地华著,在售,[海淀]海淀西二环北京海洋馆西200米,三居(2)，四居(1),2018.01.31,"均价170,000元/m²","4,420万元"
中赫万柳书院,在售,[海淀-万柳]海淀区万柳区域巴沟路华联购...,三居(4)，五居及以上(1),2018.01.31,"均价170,000元/m²","7,922万元"
首创·天阅西山,在售,[海淀-西北旺] 海淀区永丰路与北清路交...,四居(3),2018.02.07,"均价85,000元/m²","1,530-2,142万元"
香山四季,在售,[海淀-西山别墅区]海淀区西北四环四季青...,三居(3)，四居(2)，五居及以上(3),2018.01.31,"均价105,000元/m²","2,184-6,678万元"
盛德紫阙,在售,[东城-安定门]北京市东城区地坛公园北，...,一居(3)，二居(2)，三居(4)，四居(1),2018.01.22,"均价110,000元/m²","2,926-4,598万元"
北河沿甲柒拾柒号,在售,[东城]东城北河沿大街甲77号,三居(3)，四居(1),2018.01.26,"均价164,600元/m²","8,000-11,312万元"
梵悦万国府,在售,[东城-东直门]东城区东直门外小街十八号,三居(2)，四居(1),2018.01.26,"均价145,000元/m²","2,842-4,205万元"
霞公府,在售,[东城-王府井]北京市东城区霞公府街3号...,四居(1)，五居及以上(1),2018.01.22,"均价137,000元/m²","6,069-8,083万元"
中海寰宇天下,在售,[石景山-古城],二居(1)，三居(3)，四居(2),2018.03.15,"最低60,999元/m²起","519-1,068万元"
紫金印象,待售,[西城]北京市西城区右安门桥北150米右...,一居(2)，二居(3)，四居(1),2018.03.15,售价待定,"100,000元/m²"
玺源台,待售,[西城-马连道]宣武广安门外大街305号...,一居(6)，二居(2),2018.02.01,售价待定,总价待定
中信国安府,待售,[西城-西单]西城区二环内琉璃厂西侧50米,四居(2),2018.02.01,售价待定,总价待定
西单上国阙,在售,[西城-西单]西单时代广场中组部南200米路东,二居(2)，四居(2),2018.02.01,"均价187,000元/m²","3,029-5,535万元"
泰禾·昌平拾景园（住宅）,在售,[昌平-昌平主城区]新城地铁南邵站南100米,二居(1)，三居(4),2018.03.15,"均价55,000元/m²",700万元起
丽都壹号,待售,[朝阳-望京]朝阳将台路与驼房营路交叉口,一居(2)，二居(4)，三居(1),2018.03.15,售价待定,总价待定
泰禾·金尊府,待售,[朝阳]东四环中路58号,一居(3)，二居(2)，三居(2),2018.02.26,售价待定,总价待定
江南府,在售,[朝阳-小红门]朝阳红坊路6号,二居(3)，三居(1),2018.03.15,"最低72,000元/m²起",590-785万元
首创天禧,在售,[朝阳-国贸]朝阳区东三环京广桥东北角(...,四居(1),2018.03.15,"均价180,000元/m²","7,164万元"
江南山水,待售,[朝阳-小红门]朝阳红坊路6号,一居(1)，三居(1)，四居(1),2018.03.15,"均价60,000元/m²",总价待定
天润福熙大道,在售,[朝阳-亚奥]朝阳区北五环红军营东路轻轨...,一居(1)，二居(1)，三居(4)，四居(1),2018.03.15,"均价105,000元/m²","15,000万元起"
泰禾·金府大院,待售,[丰台]北京市丰台区南四环公益西桥2.5公里,三居(3),2018.03.15,"均价79,800元/m²","1,160万元"
中粮天恒·天悦壹号,待售,[丰台]南四环地铁新宫站南500米,三居(1)，四居(2),2018.03.15,"均价85,000元/m²",总价待定
首开华润城,在售,[丰台-丰台科技园]丰台南四环花乡桥南1...,三居(2),2018.03.15,"均价90,000元/m²","1,224-1,269万元"
首开万科翡翠四季,在售,[通州-次渠]通州东五环京津高速东石村桥...,二居(2)，三居(4)，四居(2),2018.03.12,售价待定,总价待定
K2十里春风,在售,[通州]通州区永乐经济开发区小甸屯村百莱...,二居(1)，三居(1),2018.03.15,"均价37,500元/m²",296-330万元
华业东方玫瑰,在售,[通州-梨园]通州八通线临河里站北侧40...,一居(1)，二居(9)，三居(4)，四居(1),2018.03.15,"均价70,000元/m²",688万元
首开万科城市之光,在售,[通州-次渠]通州东五环化工桥向京津高速...,开间(1),2018.03.15,"均价43,000元/m²",172万元
泰晤士印象,待售,[通州-西集]通州京哈高速（G1）朗府出...,二居(1)，三居(2),2018.03.02,售价待定,总价待定
阳光城·檀悦,在售,[顺义]北五环京承高速6出口（中央别墅区...,三居(2),2018.03.15,"均价62,300元/m²","630-1,500万元"
中海·国际城,待售,[顺义-顺义主城区]顺平路燕京桥M15号...,二居(3)，三居(4)，四居(2),2018.03.15,售价待定,总价待定
浅山香邑,在售,[顺义]顺义区张镇张各庄村 ,二居(2)，三居(4)，四居(1),2018.02.01,"最低27,000元/m²起",308-567万元
中铁花溪渡,在售,[顺义-潮白河别墅区]顺义新城白马路与通...,三居(6)，四居(2),2018.02.01,"均价50,000元/m²",752-981万元
恒华湖公馆,在售,[顺义-潮白河别墅区]顺义新城顺安路，乔...,二居(2)，三居(3)，四居(1),2018.02.07,"最低48,000元/m²起","435-1,250万元"
中骏·西山天璟,在售,[门头沟]西山·永定楼北300米,三居(1)，四居(4),2018.03.15,"均价66,000元/m²","670-1,100万元"
西山燕庐,在售,[门头沟-大峪]门头沟永定镇长安街西延线...,三居(1)，四居(1),2018.03.15,"均价62,000元/m²","520-1,150万元"
翡翠长安,在售,[门头沟-大峪]门头沟西长安街沿线与六环...,三居(2)，四居(1),2018.03.14,"均价62,000元/m²","950-1,320万元"
丽景长安,在售,[门头沟-大峪]门头沟永定镇石龙西路与三...,三居(2)，四居(2),2018.03.15,"均价56,900元/m²",840万元起
华润西山墅,在售,[门头沟-西山别墅区]华润西山墅位于门头...,三居(1),2018.03.05,"均价55,000元/m²",622万元起
西山艺境,在售,[门头沟-大峪]双峪路口向西800米，黑...,三居(4)，四居(1),2018.01.31,"均价65,000元/m²","1,333-1,690万元"
国韵村,在售,[大兴-旧宫]北京市大兴区东南四环榴乡桥...,二居(1)，三居(1)，四居(1),2018.03.15,"均价75,000元/m²","645-1,035万元"
绿地海珀云翡,在售,[大兴-黄村]兴亦路京开高速东侧,二居(1)，三居(3),2018.03.15,"均价76,000元/m²","775-1,353万元"
小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
五和万科长阳天地,在售,[房山-长阳]房山地铁篱笆房站奥特莱斯北侧,二居(1)，三居(2),2018.03.15,"均价51,000元/m²",496-528万元
中粮京西祥云,在售,[房山]地铁房山线稻田站北行800米,三居(2)，四居(2),2018.03.15,"均价57,000元/m²",710-880万元
天恒·京西悦府,在售,[房山-阎村]房山线西沿线，燕房线阎村站...,三居(2),2018.03.15,"均价40,000元/m²",407-450万元
观山源墅（住宅）,在售,[房山-良乡]房山 阳光北大街与多宝路交...,二居(2)，三居(3)，四居(2),2018.03.01,"均价46,800元/m²",430-660万元
旭辉城,待售,[房山-良乡]北京市房山区良乡镇良常路与...,,2018.03.15,"均价38,994元/m²",总价待定
天资华府,在售,[房山-长阳]房山区长阳昊天北大街（CSD东侧）,二居(2)，三居(7)，四居(1)，五居及以上(2),2018.03.15,"均价43,000元/m²","1,161-1,187万元"
北京城建琨廷,在售,[房山-窦店]房山区窦店镇京港澳高速公路...,二居(3)，三居(9)，四居(1),2018.03.15,"均价32,000元/m²",448万元
世界名园,在售,[房山-窦店]房山区窦店镇汇丰街（京石高...,一居(1)，二居(5)，三居(2)，四居(1),2018.03.02,"最低26,000元/m²起",250-335万元
中国铁建原香漫谷,在售,[房山-阎村]房山城关街道兴东大街133号,二居(2)，三居(3),2018.03.02,"均价30,000元/m²",387万元
远洋仕家,在售,[房山-良乡]地铁房山线良乡大学城站东侧,二居(1)，三居(1)，四居(2),2018.03.15,"均价47,900元/m²",517-604万元
首创伊林郡,在售,[房山-房山老城区]房山京港澳高速22B...,二居(2)，三居(3),2018.03.02,"均价36,000元/m²",549万元起
大宁山庄,待售,[房山-长辛店]房山南五环外，京石高速第...,一居(1)，二居(4)，三居(2),2018.03.02,售价待定,总价待定
东亚朗悦居,待售,[房山-阎村]房山京周路与大窦路交叉口(...,二居(2)，三居(1),2018.03.02,"均价40,000元/m²",292-300万元
长阳光和作用,在售,[房山-长阳]房山长阳镇京良路西营路口向...,二居(5)，三居(6),2018.01.26,"均价48,000元/m²",401-547万元
韩建雅苑,待售,[房山-韩村河]房山韩村河镇政府南侧,二居(1)，三居(2)，四居(2),2018.02.01,售价待定,总价待定
北京城建上河湾,待售,[密云]密云县白云街北侧（滨河大桥向北1...,二居(1)，三居(4),2017.11.23,售价待定,总价待定
龙湖长城源著,在售,[密云]密云司马台长城脚下古北水镇旁,一居(3)，二居(3),2017.10.19,"均价25,300元/m²",总价待定
首创澜茵山,在售,[密云]密云密溪路（京承高速16出口）白...,一居(1)，二居(1)，三居(3)，四居(2),2017.11.23,"958-1,436万元/套",
彼岸香醍,待售,[密云]北京市密云县溪翁庄镇密西路18号,四居(2),2017.11.23,总价待定,
雲溪（别墅）,待售,[密云]北京密云水库溪翁庄镇白河风景区,四居(3),2017.03.10,总价待定,
懿品府,在售,[密云]密云果园街道西大桥路38号北院,四居(3),2017.06.21,711-823万元/套,
密云华润橡树湾,售罄,[密云]密云县密云镇滨河路水源路交叉口东...,二居(1)，三居(2),2017.04.05,"均价24,000元/m²",总价待定
行宫·御东园,售罄,[密云]密云新北路南侧、行宫街东侧,一居(1)，三居(1),,"均价16,000元/m²",总价待定
华远澜悦,售罄,[密云] 密云县白云街北侧（白河西）,三居(2),,"均价15,000元/m²",总价待定
北京城建世华龙樾,待售,[海淀-清河]海淀清河小营桥东700米,二居(1)，三居(4)，四居(1),2018.03.15,售价待定,总价待定
海淀名著,待售,[海淀-定慧寺-田村]阜石路辅路与田村路...,三居(1)，四居(1),2018.03.15,售价待定,总价待定
华润萬橡府,待售,[海淀-清河] 海淀学府树北街（清河桥西...,三居(1)，四居(2),2018.03.15,售价待定,总价待定
强佑·府学上院,在售,[海淀-清河]八达岭高速清河桥西100米,二居(2)，三居(3),2018.03.15,"均价80,000元/m²","800-1,350万元"
金隅·金玉府,在售,[海淀-定慧寺-田村]海淀阜石路与上庄大...,三居(4),2018.03.15,"均价78,900元/m²","1,085万元起"
上林溪南区,在售,[海淀-清河]海淀区八达岭高速西三旗出口...,一居(1)，二居(2)，三居(4),2018.03.15,"均价80,000元/m²","512-1,024万元"
玉泉新城,待售,[海淀-定慧寺-田村]石景山区玉泉路以西...,一居(1)，二居(1),2018.01.31,售价待定,总价待定
百旺杏林湾,在售,[海淀-西北旺]海淀北青路北航天城西(永...,二居(1)，三居(4)，四居(2),2018.02.07,"均价74,000元/m²","1,014-1,510万元"
五矿万科如园,在售,[海淀-西北旺] 海淀西北旺镇永丰路与后...,三居(3)，四居(1),2018.01.31,"均价100,000元/m²","3,100万元"
前海中金公馆,在售,[海淀]海淀中街15号,一居(3)，二居(1)，三居(1),2018.02.27,"均价90,000元/m²","1,125万元"
金地华著,在售,[海淀]海淀西二环北京海洋馆西200米,三居(2)，四居(1),2018.01.31,"均价170,000元/m²","4,420万元"
中赫万柳书院,在售,[海淀-万柳]海淀区万柳区域巴沟路华联购...,三居(4)，五居及以上(1),2018.01.31,"均价170,000元/m²","7,922万元"
首创·天阅西山,在售,[海淀-西北旺] 海淀区永丰路与北清路交...,四居(3),2018.02.07,"均价85,000元/m²","1,530-2,142万元"
香山四季,在售,[海淀-西山别墅区]海淀区西北四环四季青...,三居(3)，四居(2)，五居及以上(3),2018.01.31,"均价105,000元/m²","2,184-6,678万元"
华瞰墨园,待售,[海淀]北京市海淀区田村路39号院（乐府...,,2018.01.31,"均价100,000元/m²",总价待定
盛德紫阙,在售,[东城-安定门]北京市东城区地坛公园北，...,一居(3)，二居(2)，三居(4)，四居(1),2018.01.22,"均价110,000元/m²","2,926-4,598万元"
北河沿甲柒拾柒号,在售,[东城]东城北河沿大街甲77号,三居(3)，四居(1),2018.01.26,"均价164,600元/m²","8,000-11,312万元"
梵悦万国府,在售,[东城-东直门]东城区东直门外小街十八号,三居(2)，四居(1),2018.01.26,"均价145,000元/m²","2,842-4,205万元"
霞公府,在售,[东城-王府井]北京市东城区霞公府街3号...,四居(1)，五居及以上(1),2018.01.22,"均价137,000元/m²","6,069-8,083万元"
当代MOMA历峰,售罄,[东城-东直门]东直门香河园路1号,三居(1),,"均价91,000元/m²",总价待定
励骏华庭,售罄,[东城-王府井]东城区金宝街90号,一居(1)，二居(1)，三居(1)，四居(1),2017.04.26,"均价110,000元/m²",总价待定
贡院9号,售罄,[东城-王府井]东城贡院西街9号,一居(1)，三居(1),2017.02.22,"均价75,000元/m²",总价待定
