小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
鸿泰乐颐小镇,在售,[崇明-崇明新城]崇明海永乡（近长征农场）,一居(2),2018.01.27,"最低14,000元/m²起",91-120万元
融科托斯卡纳庄园,在售,[崇明-崇明新城]上海市崇明县海永乡长征...,五居及以上(2),2017.04.06,339万元/套,
蓝湖湾(别墅),在售,[崇明-崇明新城]崇明岛北首永兴路 ,四居(2),2017.05.12,376万元/套,
东滩花园,在售,[崇明-陈家镇]崇明陈家镇揽海路1号 ,四居(2),2018.02.24,"1,240-1,440万元/套",
君地蔚林半岛,待售,[崇明-崇明新城]永兴路118号,三居(1),2017.04.06,总价待定,
绿岛江湾城,待售,[崇明-崇明新城]西北角永兴西路长征农场北首,一居(1),2018.01.27,售价待定,总价待定
绿地曼哈顿（商办）,待售,[崇明-崇明新城]崇明城桥镇江帆路379号,,2017.04.07,"均价14,000元/m²",总价待定
亚通水岸景苑,待售,[崇明-崇明新城]城桥镇东引路369弄,三居(1),2017.01.10,"均价16,500元/m²",总价待定
东亚威尼斯公馆,待售,[崇明-崇明新城]城桥镇乔松路750号 ,二居(2)，三居(3)，四居(1),2017.04.07,"均价26,000元/m²",224-354万元
泰禾大城小院,在售,[崇明]凤凰公路与潘园公路交叉口,三居(1),2018.02.25,"均价27,000元/m²",267万元
禹洲东滩雍禧,在售,[崇明-陈家镇]陈家镇北陈公路1568号,二居(1)，三居(1),2018.01.30,378-420万元/套,
东滩豫翠苑,在售,[崇明-陈家镇] 崇明北陈公路银鸥西路,二居(1)，三居(1),2017.04.06,389-418万元/套,
御岛财富公馆,在售,[崇明-长兴岛]上海长兴岛凤蓉路455弄,三居(2)，四居(1)，五居及以上(1),2017.04.06,"均价35,000元/m²","417-1,005万元"
堤亚纳昱墅,在售,[崇明-崇明新城]上海崇明港东公路66弄 ,四居(1),2017.02.08,703万元/套,
蓝湖湾,在售,[崇明-崇明新城]崇明岛北首永兴路 ,二居(3)，三居(1),2017.04.07,"均价11,000元/m²","774-1,034万元"
葛洲坝绿城玉兰花园,在售,[青浦-青浦新城]青浦清河湾路1699弄...,二居(2)，三居(1)，四居(2),2018.03.15,"最低38,000元/m²起",490-823万元
盛誉世家,在售,[青浦-青浦新城]上海市青浦区盈港路淀湖路,三居(5)，四居(1),2018.03.13,"最低41,500元/m²起",410-598万元
首创禧悦翠庭,在售,[青浦-青浦新城]青浦区淀山湖大道丁家港...,二居(2)，三居(2)，四居(2),2018.02.28,"最低38,000元/m²起",450-525万元
泰禾红桥,在售,[青浦-青浦新城]青浦沪青平公路青湖东路...,二居(1)，三居(4),2018.03.14,"均价39,000元/m²",347-355万元
融信铂爵,待售,[青浦-青浦新城]青浦区淀山湖大道青浦大...,三居(3),2018.03.14,售价待定,"43,400元/m²"
保利建工西郊锦庐,在售,[青浦-赵巷] 青浦区嘉松中路6999号,四居(2),2018.02.28,593万元/套,
宝业爱多邦,在售,[青浦-青浦新城]上海市青浦区青湖东路近...,二居(1)，三居(2)，四居(1),2018.02.28,"均价41,000元/m²",320-554万元
绿地新里波洛克公馆,待售,[青浦-青浦北部]重固福泉山东路33弄（...,二居(1)，三居(2)，四居(1),2018.03.06,售价待定,总价待定
上海恒大御澜庭,在售,[青浦-朱家角]青浦朱家角镇淀山湖大道复...,一居(1)，二居(1)，三居(3),2018.02.27,"均价33,000元/m²",257-465万元
