小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
嘉华帕醍欧,待售,[蓟州-府君山公园]北外环路与康平路交口处,二居(5)，三居(3),2018.03.01,售价待定,总价待定
都铎贰拾肆栋（别墅）,在售,[蓟州-光明路]迎宾大道与凤凰山大道交口,二居(1)，三居(2),2018.02.26,总价待定,
沁园蓝山（别墅）,在售,[蓟州-光明路]迎宾大街与黄花山路交口,三居(1)，四居(1),2018.02.26,总价待定,
嘉华帕醍欧（别墅）,待售,[蓟州-府君山公园]北外环路与康平路交口处,,2017.09.29,总价待定,
唐华公馆（公寓）,在售,[蓟州-盘山]盘山大道与横西路交口,一居(4)，二居(1),2018.03.01,"均价9,000元/m²",54-90万元
圣世宫（别墅）,在售,[蓟州-凤凰山]东翼路与凤凰山大道交口,四居(3),2018.03.02,850万元/套,
盘龙谷文化城,售罄,蓟州 - 蓟县盘山国家5A级风景区西坡五盆沟景区内,四居(3),,"均价6,263元/m²",总价待定
现代城,售罄,[蓟州-光明路]宝塔路与迎宾路交口,二居(3),,"均价7,400元/m²",总价待定
昕瑞家园,售罄,[蓟州-府君山公园]蓟县中昌南路,二居(3),,"均价6,786元/m²",总价待定
远景上邑1558,售罄,[蓟州-康平路]康平路与迎宾路交口,二居(1)，三居(3),,"均价8,100元/m²",总价待定
玉龙湾运动度假山谷（公寓）,售罄,[蓟州-城关]于桥水库（翠屏湖）南5公里,不限(4),,"均价8,200元/m²",总价待定
新宇花园,售罄,[蓟州-光明路]经济开发区立交桥东北侧,二居(2)，三居(1),,"均价3,515元/m²",总价待定
富龙湾家园,售罄,蓟州 - 人民西路南侧人民医院西院西侧500米,一居(2)，二居(4)，三居(1),2016.12.05,售价待定,总价待定
富龙湾（公寓）,售罄,[蓟州-府君山公园]人民西路南侧,一居(4),,售价待定,总价待定
幸福时代花园,售罄,[蓟州-府君山公园]蓟县燕山东路与宝塔路交口,二居(3),,"均价7,208元/m²",总价待定
融创星耀五洲,在售,[津南-八里台镇]天嘉湖,二居(3)，三居(5),2018.03.13,"均价9,400元/m²",82-130万元
滨江国际,待售,宁河 - 桥北新区规划三八河路蓟运河大桥旁,二居(1)，三居(1),2017.09.30,售价待定,总价待定
新城吾悦广场,在售,[津南-咸水沽镇]二八线与津南环线交汇,三居(4)，四居(1),2018.03.13,"均价14,500元/m²",160-207万元
富力又一城,在售,[津南-咸水沽镇]津南天津大道与东沽路交口,二居(2)，三居(7)，四居(1),2018.03.13,"均价14,000元/m²",126-355万元
大唐盛世,在售,[津南-八里台镇]天嘉湖大道东侧,二居(2)，三居(2),2018.03.14,"最低9,695元/m²起",70-115万元
南园,在售,津南 - 津港公路与科技大道交口西南侧,二居(1)，三居(2),2018.03.13,"均价9,600元/m²",82-123万元
恒大御景半岛,在售,[宁河-宁河]津榆公路北侧,二居(3),2018.03.01,"均价11,000元/m²",总价待定
天津海航城,在售,宁河 - 七里海大道与海航东路交口以东500米处,二居(3),2018.03.01,"均价10,000元/m²",总价待定
钱隆学府,在售,[津南-小站镇]北闸口镇津岐公路以东侧,二居(8)，三居(7)，四居(1),2018.03.14,"均价10,000元/m²",91-95万元
世茂璀璨公园,在售,[津南-咸水沽镇]界河路（月坛海鲜城对面）,二居(3)，三居(10)，四居(1),2018.03.15,"最低13,800元/m²起",173-290万元
天山龙玺,在售,津南 - 津歧路与盛塘路交汇处东行一千米,三居(4)，四居(1),2018.03.15,"均价9,000元/m²",95-168万元
绿城玉兰花园,在售,[宁河-宁河]光明路与绿荫环路交口,二居(3)，三居(2),2016.12.13,"均价11,000元/m²",88万元
龙泽馨园,在售,[宁河-宁河]芦汉路与震新路交口西北侧,二居(4)，三居(3),2018.03.01,"最低15,000元/m²起",147-184万元
天津海航城（别墅）,在售,宁河 - 七里海大道与海航东路交口以东500米处,三居(4)，四居(1),2018.03.01,183-246万元/套,
龙湖天宸原著,在售,津南 - 同砚路南开大学南门向东500米,二居(1)，三居(6),2018.03.14,"均价21,000元/m²",179-269万元
英伦世家,售罄,宁河 - 桥北新区规划三八河路蓟运河大桥旁,二居(1)，三居(4),,售价待定,总价待定
恒大花溪小镇,在售,宝坻 - 宝坻京津生态新城（津蓟高速九园线出口宝白路东）,二居(3)，三居(3),2018.02.23,"最低8,000元/m²起",78-110万元
仁恒海和院,在售,[津南-咸水沽镇]雅润路与同德路交口,三居(3)，四居(1),2018.03.15,"最低21,000元/m²起",222-361万元
鲁能泰山7号,在售,津南 - 同心路与雅润路交口西南侧,三居(2)，四居(1),2018.03.15,"均价22,000元/m²",306万元
