小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
泛悦城市广场(公寓),在售,[成华]昭觉寺横街与川陕路交汇处（环昭觉...,开间(2),2018.03.15,"最低13,400元/m²起",36-64万元
佳年华广场(公寓),在售,[成华]峨眉山路369号,开间(4),2018.03.15,"最低12,000元/m²起",44-152万元
上古天地(公寓),在售,[成华]成华龙潭新城成华大道与成金青快速...,开间(1),2018.03.12,"均价10,000元/m²",34万元起
青龙广场(公寓),在售,[成华-驷马桥]成都市成华区东丽街动物园后门,一居(1)，开间(1),2018.02.27,"均价11,800元/m²",55-70万元
万科天荟(公寓),在售,[成华-建设路]杉板桥路（东郊记忆旁）,开间(4),2018.03.07,"均价15,000元/m²",37-83万元
中国铁建广场(公寓),待售,成华 - 新成华大道三段与东华一路交汇口(理工大学对面),二居(2)，开间(1),2018.03.06,"均价12,000元/m²",61-124万元
梦魔方(公寓),在售,成华 - 成华中环路锦绣大道段与金马河路交叉口东100米,一居(3),2018.03.15,"均价25,000元/m²",73-92万元
金科中心(公寓),待售,成华 - 成华川陕立交旁荆翠西路（动物园斜对面）,一居(1)，开间(2),2018.03.07,"均价9,200元/m²",27-92万元
观城(公寓),在售,[成华]双庆路51号,一居(2)，开间(3),2018.03.14,"最低15,600元/m²起",64-76万元
泰博理想城(公寓),待售,[成华-二仙桥]北一路（北至铁道部成都木...,一居(4),2018.03.07,"均价12,000元/m²",47-61万元
龙光世纪中心(公寓),在售,[成华]成华大道二段理工大斜对面圣灯公园旁,开间(4),2018.03.15,"均价12,000元/m²",87万元
鲁能城(公寓),待售,[成华-万年场]成洛大道与中环路交汇处,,2018.03.07,售价待定,总价待定
成功悦都(公寓),在售,[成华]双建路（原双建路79号）建行正对面,开间(1),2018.03.07,"均价14,500元/m²",51-70万元
中国铁建青秀城(公寓),在售,[成华]致顺路与致强路交汇处,一居(1)，二居(1),2018.03.07,"均价11,300元/m²",129万元
招商中央华城(公寓),在售,[成华]东郊记忆旁成华大道与中环路交汇处,开间(1),2018.02.06,"均价14,000元/m²",55-85万元
悦荟时代广场(公寓),待售,[青白江]华金大道三段66号,,2017.07.12,售价待定,总价待定
瀚城国际,待售,[青白江]凤凰西六路28号,二居(8)，三居(3)，四居(1),2017.07.18,售价待定,总价待定
北城映像,待售,[青白江]凤凰西七路28号,二居(3)，三居(13),2017.11.22,售价待定,总价待定
西街上院,待售,[青白江]城厢镇金渊路81号（城厢小学旁）,二居(1)，三居(7),2017.05.25,售价待定,总价待定
天府欧城,待售,[青白江]同华大道1365号（新川化中学旁）,二居(1)，三居(8),2017.07.18,售价待定,总价待定
誉府世家,待售,[青白江]大弯凤凰大道三段8号,二居(5)，三居(7),2017.11.22,售价待定,总价待定
长河郡,待售,[青白江]学苑路456号（大弯中学旁边）,一居(1)，二居(5)，三居(1),2018.02.02,"均价4,000元/m²",21-39万元
凤凰名城,在售,[青白江]江华金大道三段55号,二居(3)，三居(1),2018.02.02,"均价4,500元/m²",36万元
瀚城新天地,待售,[青白江]学苑路218号（大弯中学正门）,二居(4)，三居(5),2017.11.17,"均价6,500元/m²",42-65万元
嘉合凤凰岛,待售,[青白江]凤凰大道二段765号,二居(1)，三居(3)，四居(1)，五居及以上(1),2017.11.22,"均价6,500元/m²",45-59万元
蝴蝶洲,在售,[青白江]凤翔大道1266号,二居(1)，三居(4),2017.07.12,"均价5,700元/m²",47-65万元
合谊同华,在售,[青白江]华逸中路999号,二居(1)，三居(3),2017.11.22,"均价5,500元/m²",55-72万元
听湖九园,在售,[青白江]凤凰东二路99号（凤凰湖湿地公...,三居(4)，四居(1),2017.06.26,"均价6,400元/m²",72-88万元
合谊同华(别墅),待售,[青白江]华逸中路999号,二居(1)，三居(3),2017.11.17,85-111万元/套,
IMC美程广场(商铺),售罄,[青白江]同华大道（新川化中学旁）,不限(1),2018.03.07,售价待定,总价待定
成都佳兆业广场(公寓),在售,青羊 - 马厂社区一、二组(光华大道一段西非遗博览园旁),开间(2),2018.03.13,"最低12,000元/m²起",62-69万元
青羊万达(公寓),在售,[青羊]青羊区日月大道一段978号,一居(1),2017.12.28,"均价13,000元/m²",84-92万元
富力中心(公寓),待售,[青羊]顺城大街269号,三居(1)，开间(1),2018.01.25,"均价23,000元/m²",194-375万元
金沙城锦澜阁(公寓),在售,[青羊-外金沙]百瑞二路338号,开间(1),2018.03.16,"最低16,000元/m²起",86-154万元
泰业城中城(写字楼),在售,[青羊]青龙巷36号,,2017.07.19,售价待定,总价待定
太行瑞宏朗诗金沙城,待售,[青羊]西三环路4段（苏坡公园旁）,三居(3)，四居(4),2017.11.22,售价待定,总价待定
