小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
碧桂园轻轨悦城,在售,广州周边 - 广州周边广清大道（百嘉路段）南山岭生态公园旁,四居(2),2017.06.13,"均价11,000元/m²",总价待定
北部万科城,在售,[广州周边-清远]广清高速龙塘出口右转3公里,,2017.06.21,"均价9,500元/m²",总价待定
阳光100阿尔勒,在售,广州周边 - 清远广清高速银盏出口直行约3公里，广清大道旁,二居(2)，三居(2),2017.06.05,"均价10,000元/m²",66-116万元
恒大银湖城,在售,[广州周边-清远]清城区广清高速古钱岭出口,二居(1)，三居(3),2017.06.13,"均价8,900元/m²",114万元
越秀晋德汇,待售,[越秀-北京路]中山六路118号,不限(2),2017.06.21,售价待定,总价待定
碧桂园玺悦,在售,[南沙-金洲],三居(3)，四居(1),2018.03.16,"均价25,000元/m²",180-283万元
麓湖轩,待售,[越秀-东风东]麓湖路9号（广东电视台旁）,二居(4)，三居(2)，四居(1),2017.06.06,售价待定,总价待定
粤泰荣廷府,待售,[越秀-北京路]东华西路52-56号,三居(1)，四居(1),2017.06.13,售价待定,总价待定
江湾298,待售,[越秀-北京路]沿江中路298号,不限(5),2017.06.20,售价待定,330-495万元
竹雅苑,待售,[越秀-北京路]越秀北站南路17号,三居(3)，四居(1),2017.08.18,售价待定,350万元
嘉兰轩,待售,[越秀]大新路388号,二居(2)，三居(1),2017.04.10,"均价51,000元/m²",423-638万元
文德先生(商办),待售,[越秀-北京路]文德南路与珠光路交界处,二居(4)，三居(4)，四居(1),2017.06.21,售价待定,"497-1,015万元"
江畔雅苑,在售,越秀 - 太平沙牌坊直入（地铁6号线北京路站A出口）,一居(1)，二居(2)，三居(2),2017.03.13,"均价68,000元/m²",530-986万元
阳光城丽景湾,待售,[南沙-金洲]金沙路（进港大道金州商业街旁）,二居(2)，三居(1)，四居(3)，五居及以上(1),2018.03.16,"均价18,000元/m²",243万元
南沙保利城,在售,南沙 - 市南大道与鸡谷山路交汇处（西段）,二居(4)，三居(9)，四居(3),2018.03.16,"均价20,000元/m²",150-270万元
文德先生,在售,[越秀-北京路]文德南路与珠光路交界处,二居(4)，三居(4)，四居(1),2017.03.06,"均价65,000元/m²","598-1,222万元"
淘金家园C组团,在售,[越秀-淘金]东横路9号、11号、13号,一居(1)，二居(3)，三居(4)，四居(1),2017.06.09,"均价70,000元/m²",679万元
富力东山新天地,在售,[越秀-东山]广州大道与中山一路交汇处,不限(4)，四居(1),2017.09.21,"均价47,500元/m²",860万元
东山一品,在售,[越秀-东山]水荫路69号,三居(2)，四居(5),2017.06.21,"均价83,000元/m²",900万元
东山上品,在售,越秀 - 东兴北路102号（外商活动中心南侧直入50米）,四居(1),2017.03.21,"均价65,000元/m²","1,073万元"
富力伯爵山,在售,[南沙-南沙湾]英东大道金业小学西侧,二居(6)，三居(8)，五居及以上(1),2018.03.16,"均价18,000元/m²",207-405万元
南沙时代,在售,[南沙-金洲]进港大道377号（南沙街道旁）,二居(1)，三居(3)，四居(1),2018.03.16,"均价27,000元/m²",219-305万元
保利星海小镇,在售,[南沙-黄阁]榄核镇镇南路南侧,三居(4)，四居(1),2018.03.17,"均价20,000元/m²",191-243万元
越秀滨海新城,在售,[南沙],三居(4)，四居(1),2018.03.16,"均价18,000元/m²",169-189万元
南沙湾御苑,在售,[南沙-南沙湾]进港大道和港前大道交汇处,二居(3)，三居(4),2018.03.17,"均价27,000元/m²",259-375万元
珠江源昌花园,在售,[南沙-明珠湾]珠江街新广三路63号,二居(2)，三居(2)，四居(1),2018.03.17,"最低18,000元/m²起",187-218万元
大宏锦绣,在售,[南沙],二居(1)，三居(3),2018.03.16,"均价23,000元/m²",207-299万元
