小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
万科智谷(商住),在售,拱墅 - 杭州市拱墅区石祥路208号（石祥路与科园路交叉口向西300米...,一居(1)，二居(1),2018.03.15,"最低28,500元/m²起",100-131万元
万融城(商住),在售,[拱墅]拱墅祥富路与杨家浜路交叉口东南角 ,二居(1)，三居(2),2018.03.16,"均价26,500元/m²",140-193万元
蓝钻天成(商住),在售,拱墅 - 拱墅莫干山路与萍水东路交汇西南侧,一居(3),2018.03.15,"最低31,000元/m²起",207-468万元
中国铁建国际公馆(商住),在售,拱墅 - 石祥路239号（浙大城市学院北校区东侧）,一居(2),2018.03.13,"最低25,000元/m²起",123万元
中交财富中心(商住),在售,[拱墅]杭州市登云路与莫干山路交汇处西北侧,一居(1)，二居(1)，三居(1)，开间(2),2018.03.13,"最低25,000元/m²起",100-200万元
杭州万通中心(商住),在售,[拱墅-上塘]拱墅杭州市上塘路与大关路交叉口,一居(6)，二居(2)，三居(1),2018.03.16,"均价28,000元/m²",185-269万元
复地壹中心(商住),待售,[拱墅-桥西]莫干山路与育英路交叉口,一居(6)，二居(4),2018.03.16,"均价35,000元/m²",140-770万元
杭州中粮大悦城(商住),在售,[拱墅-市中心]莫干山路与隐秀路交叉口,二居(1),2018.03.07,"最低30,000元/m²起",总价待定
合景天銮,在售,[拱墅]莫干山路989号,三居(2)，四居(1),2018.03.07,"最低47,000元/m²起",649-794万元
绿城华景川百合花园,在售,杭州周边 - 海宁市临杭新区许村镇天顺路东侧、镇中路南侧,三居(1)，四居(2),2018.01.24,"均价17,000元/m²",总价待定
富春江南(商铺),在售,[富阳]春江街道富阳市春江街道大桥南路,,2018.01.16,"均价17,000元/m²",120万元起
融信公馆ARC,待售,[拱墅]杭州市学院北路与隐秀路交汇处,三居(1),2018.01.23,"均价46,000元/m²",639万元
创道国际(商住),待售,[拱墅-申花]拱墅杭州市拱墅区城西银泰东...,,2018.01.26,售价待定,总价待定
万星悦城燕庐(商住),待售,[杭州周边-桐庐]江南路818号,不限(2),2018.03.08,售价待定,总价待定
海宁马桥小镇广场,售罄,杭州周边 - 海宁城南新区核心板块（马桥街道红旗路与国榷路交叉口）,二居(1)，三居(4)，四居(2),2018.02.27,"均价11,000元/m²",79-138万元
汉港武林汇(商住),待售,[拱墅]拱墅莫干山路与申花路交叉口 ,开间(4),2018.01.26,售价待定,总价待定
天阳武林邸,在售,[拱墅-申花]莫干山路与登云路交叉口向北300米,三居(2)，四居(2),2018.01.29,"均价64,000元/m²",总价待定
杭州中粮大悦城(商铺),在售,[拱墅-市中心]莫干山路与隐秀路交叉口,,2018.03.15,"最低30,000元/m²起",总价待定
新华园,在售,拱墅 - 武林广场北，湖墅南路与叶青兜路交汇处,二居(2)，三居(1)，四居(3),2018.02.07,"均价48,000元/m²",总价待定
象牙海岸(别墅),待售,[上城-钱江新城]之江路和秋涛路交汇处,二居(1)，三居(1)，四居(3)，五居及以上(2),2018.02.06,总价待定,
中大银泰城(商住),在售,下城 - 东新路与石祥路交汇处北侧（东新路822号）,一居(3)，二居(4)，三居(4),2018.03.15,"最低21,000元/m²起",总价待定
信达滨江壹品,待售,[上城-钱江新城]甬江路和钱江路交叉口,四居(3)，五居及以上(2),2018.01.31,售价待定,总价待定
滨江保利翡翠海岸,待售,[上城-钱江新城]近江路与秋涛路交叉口东南面,四居(3)，五居及以上(1),2017.11.20,售价待定,总价待定
雪峰水岸枫庭,售罄,上城 - 甬江路99号(富春路甬江路交叉口西南角),二居(3)，三居(2)，四居(1),,"均价32,283元/m²",总价待定
杭州新天地(商住),在售,[下城-华丰]石祥路71-8号,一居(1)，二居(2)，三居(3),2018.03.15,"均价25,000元/m²",138-325万元
武林外滩(商住),在售,[下城-市中心]文晖路交警支队内,不限(2),2018.03.16,"均价50,000元/m²",252万元
武林外滩,在售,[下城-市中心]文晖路交警支队内,不限(4)，四居(2)，五居及以上(2),2018.02.24,"均价100,000元/m²","2,150-3,480万元"
朗诗熙华府,待售,下城 - 胜景路与王马东路交汇处（原杭氧厂南侧）,三居(5)，四居(1),2018.02.07,"均价44,100元/m²",498-600万元
绿城蓝色钱江,售罄,[上城-钱江新城]望江路(望江路之江路口),一居(5)，二居(2)，三居(1)，四居(3)，五居及以上(2),,"均价45,720元/m²",总价待定
绿城蓝色钱江(商住),售罄,[上城-钱江新城]望江路(望江路之江路口),一居(5)，二居(2)，三居(1)，四居(3)，五居及以上(2),,"均价37,000元/m²",总价待定
海运国际(商住),售罄,[上城-钱江新城]之江中路与中河高架交会处,不限(1)，一居(2)，三居(1)，四居(1),,"均价25,000元/m²",总价待定
朗诗乐府,在售,下城 - 胜景路和王马东路交汇处（原杭氧厂南侧）,二居(1)，三居(2)，四居(2),2018.02.01,"均价45,100元/m²",577-627万元
金隅学府,售罄,[上城-钱江新城]钱江路与侯潮路交口西南角,三居(12)，四居(6),2017.06.06,"均价65,000元/m²",总价待定
滨江钱塘印象,售罄,上城 - 上城钱江新城核心居住区东临甬江路西至候潮路南至富春路,三居(3)，四居(4),,"均价43,000元/m²",总价待定
新湖武林国际公寓,在售,[下城-市中心]环城北路208号(杭州武林门商圈),二居(2)，三居(1)，四居(4),2017.06.02,"均价65,000元/m²","1,398-1,937万元"
昆仑公馆,在售,下城 - 长板巷99号(河东路和长板巷交叉口),三居(2)，四居(1)，五居及以上(1),2017.06.02,"均价42,000元/m²","1,680万元"
临平新时代(商住),待售,余杭 - 余杭南苑街道藕花洲大街东段与绸厂路交界处 ,开间(4),2018.03.16,"均价14,000元/m²",69-91万元
星澜之城,在售,[滨江]江南大道西兴路以北，西兴路2333号,一居(1)，二居(1)，开间(3),2018.03.13,"均价42,000元/m²",187-350万元
日信国际(商住),售罄,[上城-钱江新城]钱江路与婺江路交界处,不限(4),2017.06.02,售价待定,总价待定
钱江御府,售罄,[上城-钱江新城]秋涛路与候潮路交叉口东北角,三居(4)，四居(1),2017.06.06,售价待定,总价待定
融创大家侯潮府,售罄,[上城-钱江新城]候潮路与钱江路交叉口东北面,三居(2)，四居(6),2017.05.24,"均价66,000元/m²",总价待定
雪峰水岸枫庭(别墅),售罄,上城 - 甬江路99号(富春路甬江路交叉口西南角),二居(3)，三居(2)，四居(1),,总价待定,
九龙仓君玺,在售,[下城-市中心]东新路文晖路口,三居(4)，四居(3),2018.02.24,"均价65,000元/m²","2,243万元"
新天地中心天纵(商住),售罄,[下城-华丰]长浜路与新天地街交叉口东北,不限(7),2018.03.07,售价待定,总价待定
